candidate,party,race
Steven Jack RUDY,GOP,1
Richard HEATH,GOP,2
Joni S. HOGANCAMP,GOP,3
Kenny IMES,GOP,5
Paula Rush ROBINSON,GOP,6
Suzanne MILES,GOP,7
Walker Wood THOMAS,GOP,8
"Robert M. ""Robby"" MILLS",GOP,11
Jim GOOCH JR.,GOP,12
D J JOHNSON,GOP,13
Matt CASTLEN,GOP,14
Melinda Gibbons PRUNTY,GOP,15
William Brandon REED,GOP,24
Jim DuPLESSIS,GOP,25
Rachelle FRAZIER,GOP,27
Michael PAYNE,GOP,28
Waymen EDDINGS,GOP,30
Sarah PROVANCHER,GOP,31
Jason Michael NEMES,GOP,33
Jason Michael NEMES,GOP,33
Mark WILSON,GOP,37
"Denver ""Denny"" BUTLER",GOP,38
Robert L. GULLETTE III.,GOP,39
George DEMIC,GOP,40
James F. HOWLAND,GOP,42
John Mark OWEN,GOP,43
Stan LEE,GOP,45
Eric CRUMP,GOP,46
Ken FLEMING,GOP,48
Ken FLEMING,GOP,48
Dan JOHNSON,GOP,49
D. Chad McCOY,GOP,50
James A. TIPTON,GOP,53
Daniel B. ELLIOTT,GOP,54
Daniel A. FISTER,GOP,56
Rob ROTHENBURGER,GOP,58
Brian E. LINDER,GOP,61
Phillip PRATT,GOP,62
Curtis KENIMER,GOP,72
Donna MAYFIELD,GOP,73
Gary McCOLLUM,GOP,75
Mark HART,GOP,78
Ken KEARNS,GOP,79
C. Wesley MORGAN,GOP,81
Regina Petrey BUNCH,GOP,82
Chris FUGATE,GOP,84
Chad SHANNON,GOP,87
John C. BLANTON,GOP,92
Norma KIRK-McCORMICK,GOP,93
Frank D. JUSTICE II.,GOP,94
Larry D. BROWN,GOP,95
Jill YORK,GOP,96
Danny R. BENTLEY,GOP,98
Eric CHANEY,GOP,100
Michael R. MURPHY,Dem,1
Jesse Edward WRIGHT,Dem,2
Gerald WATKINS,Dem,3
David RAMEY,Dem,5
Will R. COURSEY,Dem,6
Joy GRAY,Dem,7
Jeffery R. TAYLOR,Dem,8
David A. WATKINS,Dem,11
"James R. ""Jim"" TOWNSEND",Dem,12
Jim GLENN,Dem,13
Tommy THOMPSON,Dem,14
Brent YONTS,Dem,15
Terry MILLS,Dem,24
Michael D. DILE,Dem,25
Jeff GREER,Dem,27
Charles W. MILLER,Dem,28
Tom BURCH,Dem,30
Steve RIGGS,Dem,31
Rob WALKER,Dem,33
Rob WALKER,Dem,33
Jeffery M. DONOHUE,Dem,37
McKenzie CANTRELL,Dem,38
Russ MEYER,Dem,39
Dennis L. HORLANDER,Dem,40
Reginald K. MEEKS,Dem,42
Darryl T. OWENS,Dem,43
Pam SIGLER,Dem,45
Alan GENTRY,Dem,46
Maria SOROLIS,Dem,48
Maria SOROLIS,Dem,48
Linda Howlett BELCHER,Dem,49
James DeWEESE,Dem,50
James M. SARGENT,Dem,53
Bill NOELKER,Dem,54
James KAY,Dem,56
Cyndi Powell SKELLIE,Dem,58
Kevin NAPIER,Dem,61
Chuck TACKETT,Dem,62
Sannie OVERLY,Dem,72
John M. HENDRICKS,Dem,73
Kelly M. FLOOD,Dem,75
Thomas M. McKEE,Dem,78
Susan WESTROM,Dem,79
Rita H. SMART,Dem,81
Bill CONN,Dem,82
Fitz STEELE,Dem,84
Rick NELSON,Dem,87
John W. SHORT,Dem,92
Chris HARRIS,Dem,93
Angie HATTON,Dem,94
Gregory D. STUMBO,Dem,95
Josh McGUIRE,Dem,96
Lew NICHOLLS,Dem,98
Kevin P. SINNETTE,Dem,100
Lynn BECHLER,GOP,4
Myron B. DOSSETT,GOP,9
Tim MOORE,GOP,18
Russell WEBBER,GOP,26
Kevin D. BRATCHER,GOP,29
Phil MOFFETT,GOP,32
Mary Lou MARZIAN,Dem,34
Jim WAYNE,Dem,35
Jerry T. MILLER,GOP,36
Jerry T. MILLER,GOP,36
Attica Woodson SCOTT,Dem,41
Joni JENKINS,Dem,44
Rick W. RAND,Dem,47
"John ""Bam"" CARNEY",GOP,51
Ken UPCHURCH,GOP,52
Derrick W. GRAHAM,Dem,57
David W. OSBORNE,GOP,59
Sal SANTORO,GOP,60
Diane ST. ONGE,GOP,63
Arnold R. SIMPSON,Dem,65
Addia Kathryn WUCHNER,GOP,66
Adam KOENIG,GOP,69
Jonathan SHELL,GOP,71
Ruth Ann PALUMBO,Dem,76
George A. BROWN JR.,Dem,77
David MEADE,GOP,80
Jeff HOOVER,GOP,83
Tommy TURNER,GOP,85
Jim STEWART,GOP,86
Robert J. BENVENUTI III.,GOP,88
Marie L. RADER,GOP,89
Tim COUCH,GOP,90
