First,Last,DISTRICT,PARTY,COUNTIES
 Rocky,Adkins,99,(D),"Elliott, Lewis, Rowan"
 Lynn,Bechler,4,(R),"Caldwell, Christian, Crittenden, Livingston"
 Linda,Belcher,49,(D),Bullitt
 Danny ,Bentley,98,(R),"Boyd, Greenup"
 Robert,Benvenuti III,88,(R),Fayette
 John,Blanton,92,(R),"Knott, Magoffin, Pike"
 Kevin D.,Bratcher,29,(R),Jefferson
 Larry,Brown,95,(R),"Floyd, Pike"
 George,Brown Jr,77,(D),Fayette
 Tom,Burch,30,(D),Jefferson
 McKenzie,Cantrell,38,(D),Jefferson
 John ,Carney,51,(R),"Adair, Taylor"
 Matt,Castlen,14,(R),"Daviess, Ohio"
 Tim,Couch,90,(R),"Clay, Laurel, Leslie"
 Will,Coursey,6,(D),"Lyon, Marshall, McCracken"
 Jim,DeCesare,17,(R),"Butler, Warren"
 Jeffery,Donohue,37,(D),Jefferson
 Myron,Dossett,9,(R),"Christian, Hopkins"
 Jim,DuPlessis,25,(R),Hardin
 Daniel ,Elliott,54,(R),"Boyle, Casey"
 Joseph M.,Fischer,68,(R),Campbell
 Ken,Fleming ,48,(R),"Jefferson, Oldham"
 Kelly,Flood,75,(D),Fayette
 Chris,Fugate,84,(R),"Harlan, Perry"
 Al,Gentry,46,(D),Jefferson
 Robert,Goforth,89,(R),"Jackson, Laurel, Madison"
 Jim,Gooch Jr.,12,(R),"Daviess, Hopkins, McLean, Webster"
 Derrick,Graham,57,(D),Franklin
 Jeff,Greer,27,(D),"Hardin, Meade"
 David,Hale,74,(R),"Menifee, Montgomery, Powell"
 Chris,Harris,93,(D),"Martin, Pike"
 Mark,Hart,78,(R),"Harrison, Pendleton, Scott"
 Angie,Hatton,94,(D),"Letcher, Pike"
 Richard,Heath,2,(R),"Graves, McCracken"
 Toby,Herald,91,(R),"Breathitt, Estill, Lee, Madison, Owsley"
 Jeff,Hoover,83,(R),"Clinton, Cumberland, Pulaski, Russell"
 Dennis,Horlander,40,(D),Jefferson
 Regina ,Huff,82,(R),"Laurel, Whitley"
 Kenny,Imes,5,(R),"Calloway, Trigg"
 Joni L.,Jenkins,44,(D),Jefferson
 DJ,Johnson,13,(R),Daviess
 James,Kay,56,(D),"Fayette, Franklin, Woodford"
 Dennis,Keene,67,(D),Campbell
 Kim,King,55,(R),"Jessamine, Mercer, Washington"
 Adam,Koenig,69,(R),"Boone, Kenton"
 Stan,Lee,45,(R),Fayette
 Brian,Linder,61,(R),"Boone, Grant, Kenton, Scott"
 Mary Lou,Marzian,34,(D),Jefferson
 Donna,Mayfield,73,(R),"Clark, Madison"
 Chad,McCoy,50,(R),Nelson
 David,Meade ,80,(R),"Lincoln, Pulaski"
 Reginald,Meeks,42,(D),Jefferson
 Michael,Meredith,19,(R),"Edmonson, Warren"
 Russ A.,Meyer,39,(D),"Fayette, Jessamine"
 Suzanne,Miles,7,(R),"Daviess, Henderson, Union"
 Charles,Miller,28,(D),Jefferson
 Jerry T.,Miller,36,(R),"Jefferson, Oldham"
 Robby,Mills,11,(R),"Daviess, Henderson"
 Phil,Moffett,32,(R),Jefferson
 Tim,Moore,18,(R),"Grayson, Hardin"
 C. Wesley,Morgan,81,(R),Madison
 Kimberly Poore,Moser,64,(R),"Campbell, Kenton"
 Rick G.,Nelson,87,(D),"Bell, Harlan"
 Jason,Nemes,33,(R),"Jefferson, Oldham"
 David,Osborne,59,(R),Oldham
 Sannie,Overly,72,(D),"Bath, Bourbon, Fayette, Nicholas"
 Darryl T.,Owens,43,(D),Jefferson
 Ruth Ann,Palumbo,76,(D),Fayette
 Jason ,Petrie,16,(R),"Logan, Todd, Warren"
 Phillip,Pratt,62,(R),"Fayette, Owen, Scott"
 Melinda Gibbons,Prunty,15,(R),"Hopkins, Muhlenberg"
 Rick ,Rand,47,(D),"Carroll, Gallatin, Henry, Trimble"
 Brandon,Reed,24,(R),"Green, LaRue, Marion"
 Jody,Richards,20,(D),Warren
 Steve,Riggs,31,(D),Jefferson
 Steve,Riley,23,(R),"Barren, Warren"
 Rob,Rothenburger,58,(R),Shelby
 Bart,Rowland,21,(R),"Hardin, Hart, Metcalfe, Monroe"
 Steven,Rudy,1,(R),"Ballard, Carlisle, Fulton, Hickman, McCracken"
 Sal,Santoro,60,(R),Boone
 Dean,Schamore,10,(D),"Breckinridge, Hancock, Hardin"
 Attica,Scott,41,(D),Jefferson
 Jonathan,Shell,71,(R),"Garrard, Madison, Rockcastle"
 Arnold,Simpson,65,(D),Kenton
 John,Sims Jr,70,(D),"Bracken, Fleming, Mason, Robertson"
 Kevin,Sinnette,100,(D),Boyd
 Diane,St. Onge,63,(R),"Boone, Kenton"
 Jim,Stewart III,86,(R),"Knox, Laurel"
 Wilson,Stone,22,(D),"Allen, Simpson, Warren"
 Walker,Thomas,8,(R),"Christian, Trigg"
 James,Tipton,53,(R),"Anderson, Bullitt, Spencer"
 Tommy,Turner,85,(R),"Laurel, Pulaski"
 Ken,Upchurch,52,(R),"McCreary, Pulaski, Wayne"
 Gerald,Watkins,3,(D),McCracken
 Jim,Wayne,35,(D),Jefferson
 Russell,Webber,26,(R),"Bullitt, Hardin"
 Scott,Wells,97,(R),"Johnson, Morgan, Wolfe"
 Susan,Westrom,79,(D),Fayette
 Addia,Wuchner,66,(R),Boone
 Jill,York,96,(R),"Carter, Lawrence"
