Precinct,Registered
21001A102,431
21001A104,737
21001A105,583
21001B102,1139
21001B104,725
21001C102,866
21001C104,945
21001D101,630
21001D103,622
21001D104,697
21001E101,787
21001E104,1268
21001F101,1185
21001F103,758
21001G101,1040
21001G102,1071
21003A101,1565
21003A102,1217
21003B101,1145
21003B102,1049
21003B103,541
21003C101,1557
21003C102,1437
21003D101,1498
21003D102,634
21003D103,1115
21003E101,559
21003E102,1308
21003E103,672
21005A101,1134
21005A102,1464
21005B101,1096
21005B102,1901
21005C101,1236
21005C102,1579
21005D101,1151
21005D102,1609
21005E101,2064
21005E103,1043
21005F101,936
21005F102,721
21005F103,469
21005F104,1069
21007A101,399
21007A102,986
21007A103,169
21007B101,903
21007B102,215
21007C101,297
21007C102,382
21007C103,236
21007C104,433
21007D101,879
21007D102,344
21007E101,679
21007E102,415
21009A101,1188
21009A102,1141
21009A103,1456
21009A104,336
21009B101,1353
21009B102,1211
21009B103,647
21009B104,1149
21009C101,764
21009C102,1048
21009C103,1037
21009C104,1155
21009D101,1234
21009D102,1793
21009D103,1547
21009E101,1091
21009E102,863
21009E103,1122
21009E104,1362
21009F101,1174
21009F102,1568
21009F103,1829
21009G101,1846
21009G102,1081
21009G103,1181
21011A101,376
21011A102,466
21011A103,406
21011A104,298
21011A105,1228
21011B102,763
21011B103,1654
21011B104,951
21011C101,924
21011C102,986
21011C103,553
21011C104,561
21013A101,875
21013A102,698
21013A103,523
21013A104,532
21013A105,1017
21013B101,438
21013B102,386
21013B103,514
21013B104,776
21013B105,384
21013B106,107
21013B107,835
21013B108,530
21013C101,771
21013C102,678
21013C103,780
21013C104,1075
21013C105,1325
21013D101,593
21013D102,1182
21013D103,688
21013D104,565
21013D105,564
21013D106,931
21013E101,889
21013E102,444
21013E103,655
21013E104,768
21013E105,687
21013E106,744
21015A102,722
21015A103,1771
21015A104,1751
21015A105,801
21015A106,825
21015A107,775
21015A108,1836
21015A109,2026
21015A110,952
21015A111,1976
21015A112,1152
21015A113,1916
21015A114,2181
21015A115,2052
21015A116,977
21015A117,2028
21015A118,1268
21015A119,773
21015A120,2056
21015A121,2223
21015A122,1352
21015A123,1797
21015B114,1176
21015B115,924
21015B116,1136
21015B117,1858
21015B118,788
21015B119,1076
21015B120,1152
21015B121,2640
21015B122,1347
21015B123,2207
21015B124,1732
21015B125,1868
21015B126,1281
21015B127,1852
21015B128,1507
21015B129,1741
21015B130,3273
21015B131,1751
21015B132,2039
21015B133,1829
21015B134,1411
21015C102,1978
21015C110,2630
21015C117,1209
21015C121,1813
21015C123,885
21015C124,1747
21015C125,803
21015C126,953
21015C127,1375
21015C128,934
21015C129,1053
21015C130,1890
21015C131,1901
21015C132,1448
21015C133,800
21015C134,2300
21015C135,1334
21015C136,918
21015C137,1786
21017B101,1123
21017B103,807
21017C101,706
21017C102,284
21017C103,1046
21017D101,1176
21017D103,714
21017E101,982
21017E103,1022
21017F101,791
21017F102,941
21017F103,509
21017G101,1039
21017G102,1140
21017H101,1042
21017H102,1110
21019A101,1449
21019A107,1238
21019A108,1544
21019A109,1208
21019A110,1073
21019A111,762
21019A113,721
21019A114,457
21019A115,950
21019A116,707
21019A118,1252
21019A119,830
21019A121,772
21019A122,15
21019B101,1108
21019B102,1088
21019B103,973
21019B105,1036
21019B106,862
21019B107,495
21019B108,719
21019B109,1082
21019B110,967
21019B114,853
21019B115,1105
21019B116,735
21019B117,542
21019B118,654
21019B119,718
21019B121,765
21019C102,750
21019C103,680
21019C104,1041
21019C105,853
21019C106,846
21019C107,683
21019C108,831
21019C109,553
21019C110,8
21019C111,224
21019C113,1731
21019C114,988
21019C115,1224
21019C116,1008
21019C117,635
21021A101,821
21021A102,947
21021A103,519
21021A104,870
21021A105,256
21021B101,329
21021B102,813
21021B103,1386
21021B104,954
21021C101,1026
21021C102,1139
21021C103,491
21021C104,859
21021D101,1217
21021D102,1259
21021D103,1127
21021E101,836
21021E102,838
21021E103,624
21021E104,879
21021F101,859
21021F102,682
21021F103,1136
21021F104,835
21021F105,539
21023A101,864
21023B101,721
21023C101,768
21023D101,799
21023E101,712
21023F101,776
21023G101,805
21023H101,763
21025A101,204
21025A102,777
21025A103,1001
21025A104,562
21025A105,480
21025B101,421
21025B102,571
21025B103,767
21025B104,594
21025B105,570
21025C101,919
21025C102,431
21025C103,727
21025C104,521
21025C105,432
21025D101,269
21025D102,670
21025D103,657
21025D104,370
21025D105,158
21025D106,521
21027A101,1468
21027A102,908
21027B101,821
21027B102,956
21027B103,717
21027C101,1030
21027C102,1289
21027D101,1118
21027D102,941
21027D103,731
21027E101,719
21027E102,851
21027E103,692
21027F101,1681
21027F102,428
21027F103,491
21029A101,274
21029A102,1137
21029A103,1119
21029A104,709
21029A105,1608
21029A106,1925
21029A107,1783
21029A108,860
21029A110,142
21029A111,1676
21029A112,1412
21029A113,1249
21029B101,458
21029B102,1218
21029B103,1978
21029B104,1696
21029B108,2187
21029B109,1780
21029B110,1782
21029B111,1344
21029B112,699
21029B113,1307
21029B114,1253
21029C101,1083
21029C102,1213
21029C103,1369
21029C104,1006
21029C105,868
21029C106,1122
21029C107,1662
21029C108,1174
21029C109,1063
21029C110,1390
21029C111,335
21029C112,889
21029C113,663
21029D101,631
21029D102,1117
21029D103,1187
21029D104,801
21029D105,1653
21029D106,1398
21029D107,1583
21029D108,1219
21029D110,1318
21029D111,1090
21029D113,731
21029D114,584
21031A110,698
21031A111,1033
21031B106,973
21031B107,1057
21031C103,33
21031C106,1081
21031C107,821
21031D103,548
21031D105,586
21031D106,648
21031E105,985
21031E106,846
21033A101,646
21033A102,564
21033A103,1175
21033B101,959
21033B102,721
21033B103,771
21033C101,871
21033C102,590
21033C103,1018
21033D101,632
21033D102,445
21033D103,843
21033D104,783
21035A101,1351
21035A102,1086
21035A103,2068
21035A104,768
21035A105,764
21035A106,880
21035B101,1050
21035B103,955
21035B104,728
21035B105,1117
21035B107,749
21035B108,606
21035B109,1396
21035C101,1161
21035C102,1776
21035C103,801
21035C104,756
21035C105,778
21035C106,820
21035C107,495
21035C108,843
21035C109,675
21035C110,348
21035D102,983
21035D103,736
21035D104,622
21035D105,1846
21035D106,523
21035D108,1985
21037A402,1288
21037A403,1104
21037A405,985
21037A406,232
21037A408,1465
21037A409,1017
21037A410,878
21037A411,554
21037A412,984
21037A414,821
21037A415,504
21037A418,1568
21037A419,651
21037A502,1017
21037A503,362
21037A504,767
21037A601,624
21037A602,917
21037A603,535
21037A604,610
