Rand PAUL,Jim GRAY,Precinct
402,134,21001AB
179,40,21001A102
302,82,21001A104
264,52,21001A105
415,163,21001B102
336,93,21001B104
313,138,21001C102
416,136,21001C104
300,64,21001D101
257,87,21001D103
237,144,21001D104
358,89,21001E101
433,196,21001E104
505,211,21001F101
296,110,21001F103
386,151,21001G101
498,182,21001G102
334,137,21003AB
395,177,21003A101
469,139,21003A102
495,160,21003B101
429,104,21003B102
204,71,21003B103
537,197,21003C101
667,190,21003C102
698,220,21003D101
290,95,21003D102
473,156,21003D103
220,55,21003E101
471,160,21003E102
297,79,21003E103
350,220,21005AB
378,318,21005A101
467,282,21005A102
423,329,21005B101
725,457,21005B102
470,327,21005C101
484,351,21005C102
513,245,21005D101
614,405,21005D102
851,542,21005E101
449,243,21005E103
350,218,21005F101
259,141,21005F102
155,112,21005F103
422,285,21005F104
115,36,21007AB
189,74,21007A101
399,231,21007A102
85,31,21007A103
299,200,21007B101
106,40,21007B102
148,63,21007C101
185,69,21007C102
105,59,21007C103
184,85,21007C104
342,206,21007D101
165,78,21007D102
235,127,21007E101
168,68,21007E102
650,417,21009AB
348,370,21009A101
186,282,21009A102
422,300,21009A103
129,72,21009A104
599,322,21009B101
491,278,21009B102
268,135,21009B103
483,265,21009B104
284,173,21009C101
438,234,21009C102
399,245,21009C103
479,257,21009C104
478,239,21009D101
673,451,21009D102
454,412,21009D103
369,255,21009E101
281,218,21009E102
444,279,21009E103
507,267,21009E104
343,232,21009F101
440,313,21009F102
571,420,21009F103
539,382,21009G101
227,304,21009G102
374,338,21009G103
157,171,21011AB
91,99,21011A101
105,125,21011A102
114,74,21011A103
80,72,21011A104
311,264,21011A105
173,187,21011B102
331,319,21011B103
282,161,21011B104
232,190,21011C101
204,199,21011C102
117,143,21011C103
127,150,21011C104
471,199,21013AB
266,110,21013A101
226,99,21013A102
191,50,21013A103
228,50,21013A104
240,65,21013A105
87,56,21013B101
155,49,21013B102
175,78,21013B103
210,99,21013B104
87,59,21013B105
22,19,21013B106
290,66,21013B107
117,56,21013B108
231,98,21013C101
162,72,21013C102
170,96,21013C103
226,127,21013C104
352,146,21013C105
148,71,21013D101
213,139,21013D102
198,96,21013D103
89,90,21013D104
186,72,21013D105
270,128,21013D106
340,126,21013E101
192,59,21013E102
256,72,21013E103
267,95,21013E104
269,39,21013E105
303,57,21013E106
3556,1379,21015AB
340,84,21015A102
902,205,21015A103
797,189,21015A104
402,116,21015A105
366,111,21015A106
252,83,21015A107
732,263,21015A108
806,293,21015A109
441,118,21015A110
631,280,21015A111
492,177,21015A112
638,303,21015A113
992,307,21015A114
803,293,21015A115
437,141,21015A116
967,283,21015A117
624,153,21015A118
265,101,21015A119
982,263,21015A120
1081,344,21015A121
506,160,21015A122
783,266,21015A123
621,149,21015B114
376,147,21015B115
502,201,21015B116
766,305,21015B117
303,142,21015B118
355,157,21015B119
538,168,21015B120
1151,379,21015B121
659,193,21015B122
1028,362,21015B123
794,269,21015B124
834,308,21015B125
655,166,21015B126
820,259,21015B127
663,192,21015B128
774,228,21015B129
1462,439,21015B130
763,307,21015B131
883,312,21015B132
798,316,21015B133
623,195,21015B134
737,258,21015C102
648,344,21015C110
558,166,21015C117
518,292,21015C121
260,134,21015C123
442,263,21015C124
285,127,21015C125
154,135,21015C126
382,199,21015C127
336,130,21015C128
379,184,21015C129
579,317,21015C130
458,300,21015C131
424,238,21015C132
224,103,21015C133
891,338,21015C134
497,229,21015C135
398,145,21015C136
699,295,21015C137
253,299,21017AB
326,276,21017B101
175,199,21017B103
230,185,21017C101
101,90,21017C102
201,287,21017C103
335,336,21017D101
209,196,21017D103
390,289,21017E101
246,284,21017E103
279,238,21017F101
356,247,21017F102
176,130,21017F103
373,277,21017G101
262,340,21017G102
355,290,21017H101
144,387,21017H102
791,706,21019AB4
202,123,21019AB5
213,293,21019A101
365,280,21019A107
467,354,21019A108
351,317,21019A109
194,229,21019A110
205,169,21019A111
227,177,21019A113
55,68,21019A114A
192,243,21019A115
181,188,21019A116
501,231,21019A118
242,162,21019A119
240,172,21019A121
4,5,21019A122
167,177,21019B101A
177,226,21019B102A
160,189,21019B103A
153,172,21019B105
217,192,21019B106A
164,140,21019B107
200,197,21019B108
230,214,21019B109
244,233,21019B110
173,218,21019B114
279,272,21019B115
177,185,21019B116
166,149,21019B117
159,157,21019B118
227,156,21019B119
227,185,21019B121A
214,164,21019C102
175,148,21019C103
286,193,21019C104
208,223,21019C105
207,215,21019C106
127,169,21019C107
191,182,21019C108
106,117,21019C109A
2,1,21019C110
63,65,21019C111
226,214,21019C112
288,211,21019C113
273,208,21019C114
328,291,21019C115
265,215,21019C116
221,141,21019C117
444,371,21021AB
319,198,21021A101
376,244,21021A102
180,121,21021A103
373,163,21021A104
102,69,21021A105
149,72,21021B101
296,171,21021B102
441,370,21021B103
304,215,21021B104
277,280,21021C101
282,283,21021C102
130,122,21021C103
138,261,21021C104
370,343,21021D101
441,283,21021D102
448,271,21021D103
234,279,21021E101
210,266,21021E102
114,177,21021E103
119,288,21021E104
178,234,21021F101
252,227,21021F102
385,247,21021F103
236,219,21021F104
184,163,21021F105
212,113,21023AB
365,94,21023A101
251,110,21023B101
242,112,21023C101
341,79,21023D101
269,109,21023E101
280,110,21023F101
284,104,21023G101
244,133,21023H101
56,55,21025A101
194,134,21025A102
312,192,21025A103
164,147,21025A104
106,106,21025A105
123,78,21025B101
139,99,21025B102
179,166,21025B103
118,158,21025B104
67,95,21025B105
158,247,21025C101
66,110,21025C102
173,166,21025C103
155,82,21025C104
85,92,21025C105
49,50,21025D101
120,137,21025D102
174,161,21025D103
105,85,21025D104
40,27,21025D105
97,125,21025D106
136,92,21025ABSENTEE MACHINE
38,68,21025ABSENTEE PAPER
1036,528,21029AB
89,50,21029A101
329,188,21029A102
365,230,21029A103
336,183,21029A104
670,303,21029A105
679,321,21029A106
730,359,21029A107
270,186,21029A108
57,36,21029A110
395,280,21029A111
654,329,21029A112
451,250,21029A113
163,104,21029B101
532,275,21029B102
722,412,21029B103
743,396,21029B104
934,435,21029B108
815,398,21029B109
646,386,21029B110
598,342,21029B111
291,141,21029B112
596,306,21029B113
574,265,21029B114
412,277,21029C101
338,289,21029C102
550,350,21029C103
366,245,21029C104
352,193,21029C105
335,227,21029C106
602,375,21029C107
509,277,21029C108
519,226,21029C109
455,342,21029C110
156,72,21029C111
271,194,21029C112
298,146,21029C113
188,125,21029D101
427,268,21029D102
439,300,21029D103
280,137,21029D104
734,316,21029D105
548,270,21029D106
715,325,21029D107
402,242,21029D108
622,318,21029D110
348,205,21029D111
308,92,21029D113
173,105,21029D114
263,77,21031AB
217,110,21031A110
307,156,21031A111
415,131,21031B106
497,206,21031B107
