Precinct,race,Registered,Dem,GOP,Ind,d_pct,agg_d_pct,good_precinct,turnout
21005A101,house053,1134,284,401,0,0.4145985401459854,0.275767395805203,TRUE,0.6040564373897708
21005A102,house053,1464,241,497,0,0.3265582655826558,0.275767395805203,TRUE,0.5040983606557377
21005B101,house053,1096,255,485,0,0.34459459459459457,0.275767395805203,TRUE,0.6751824817518248
21005B102,house053,1901,379,778,0,0.32757130509939497,0.275767395805203,TRUE,0.6086270384008416
21005C101,house053,1236,244,540,0,0.3112244897959184,0.275767395805203,TRUE,0.6343042071197411
21005C102,house053,1579,265,552,0,0.3243574051407589,0.275767395805203,TRUE,0.5174160861304623
21005D101,house053,1151,190,552,0,0.2560646900269542,0.275767395805203,FALSE,0.6446568201563857
21005D102,house053,1609,337,664,0,0.33666333666333664,0.275767395805203,TRUE,0.6221255438160348
21005E101,house053,2064,471,915,0,0.3398268398268398,0.275767395805203,TRUE,0.6715116279069767
21005E103,house053,1043,217,468,0,0.3167883211678832,0.275767395805203,TRUE,0.6567593480345159
21005F101,house053,936,173,382,0,0.3117117117117117,0.275767395805203,TRUE,0.592948717948718
21005F102,house053,721,120,274,0,0.30456852791878175,0.275767395805203,TRUE,0.5464632454923717
21005F103,house053,469,95,170,0,0.3584905660377358,0.275767395805203,TRUE,0.5650319829424307
21005F104,house053,1069,223,465,0,0.3241279069767442,0.275767395805203,TRUE,0.6435921421889617
21007A101,house001,399,54,214,0,0.20149253731343283,0.2980158928482183,FALSE,0.6716791979949874
21007A102,house001,986,173,460,0,0.27330173775671407,0.2980158928482183,FALSE,0.6419878296146044
21007A103,house001,169,21,96,0,0.1794871794871795,0.2980158928482183,FALSE,0.6923076923076923
21007B101,house001,903,155,341,0,0.3125,0.2980158928482183,TRUE,0.5492801771871539
21007B102,house001,215,34,114,0,0.22972972972972974,0.2980158928482183,FALSE,0.6883720930232559
21007C101,house001,297,45,165,0,0.21428571428571427,0.2980158928482183,FALSE,0.7070707070707071
21007C102,house001,382,58,196,0,0.2283464566929134,0.2980158928482183,FALSE,0.6649214659685864
21007C103,house001,236,37,128,0,0.22424242424242424,0.2980158928482183,FALSE,0.6991525423728814
21007C104,house001,433,74,195,0,0.275092936802974,0.2980158928482183,FALSE,0.6212471131639723
21007D101,house001,879,172,373,0,0.3155963302752294,0.2980158928482183,TRUE,0.6200227531285551
21007D102,house001,344,91,155,0,0.3699186991869919,0.2980158928482183,TRUE,0.7151162790697675
21007E101,house001,679,111,256,0,0.3024523160762943,0.2980158928482183,TRUE,0.540500736377025
21007E102,house001,415,52,185,0,0.21940928270042195,0.2980158928482183,FALSE,0.5710843373493976
21011A101,house072,376,103,87,0,0.5421052631578948,0.5424755919649871,FALSE,0.5053191489361702
21011A102,house072,466,131,93,0,0.5848214285714286,0.5424755919649871,TRUE,0.48068669527896996
21011A103,house072,406,94,90,0,0.5108695652173914,0.5424755919649871,FALSE,0.45320197044334976
21011A104,house072,298,76,71,0,0.5170068027210885,0.5424755919649871,FALSE,0.49328859060402686
21011A105,house072,1228,308,271,0,0.531951640759931,0.5424755919649871,FALSE,0.4714983713355049
21011B102,house072,763,221,138,0,0.6155988857938719,0.5424755919649871,TRUE,0.4705111402359109
21011B103,house072,1654,368,286,0,0.5626911314984709,0.5424755919649871,TRUE,0.3954050785973398
21011B104,house072,951,193,253,0,0.4327354260089686,0.5424755919649871,FALSE,0.46898002103049424
21011C101,house072,924,232,181,0,0.5617433414043583,0.5424755919649871,TRUE,0.44696969696969696
21011C102,house072,986,245,157,0,0.6094527363184079,0.5424755919649871,TRUE,0.4077079107505071
21011C103,house072,553,167,91,0,0.6472868217054264,0.5424755919649871,TRUE,0.4665461121157324
21011C104,house072,561,171,104,0,0.6218181818181818,0.5424755919649871,TRUE,0.49019607843137253
21013A101,house087,875,250,130,0,0.6578947368421053,0.5149700598802395,TRUE,0.4342857142857143
21013A102,house087,698,218,129,0,0.6282420749279539,0.5149700598802395,TRUE,0.497134670487106
21013A103,house087,523,109,135,0,0.44672131147540983,0.5149700598802395,FALSE,0.4665391969407266
21013A104,house087,532,158,134,0,0.541095890410959,0.5149700598802395,TRUE,0.5488721804511278
21013A105,house087,1017,158,158,0,0.5,0.5149700598802395,FALSE,0.3107177974434612
21013B101,house087,438,89,60,0,0.5973154362416108,0.5149700598802395,TRUE,0.3401826484018265
21013B102,house087,386,100,103,0,0.49261083743842365,0.5149700598802395,FALSE,0.5259067357512953
21013B103,house087,514,142,121,0,0.5399239543726235,0.5149700598802395,TRUE,0.5116731517509727
21013B104,house087,776,187,141,0,0.5701219512195121,0.5149700598802395,TRUE,0.422680412371134
21013B105,house087,384,89,59,0,0.6013513513513513,0.5149700598802395,TRUE,0.3854166666666667
21013B106,house087,107,29,12,0,0.7073170731707317,0.5149700598802395,TRUE,0.38317757009345793
21013B107,house087,835,215,150,0,0.589041095890411,0.5149700598802395,TRUE,0.437125748502994
21013B108,house087,530,112,67,0,0.6256983240223464,0.5149700598802395,TRUE,0.33773584905660375
21013C101,house087,771,188,146,0,0.562874251497006,0.5149700598802395,TRUE,0.43320363164721143
21013C102,house087,678,161,83,0,0.6598360655737705,0.5149700598802395,TRUE,0.35988200589970504
